Sekolah	Nomor Sekolah	Tahun	Jalur	Lolos	ITB	UNPAD	POLBAN	UPI	UIN SGD	ITS	IPB	ISBI Bandung	ISI Surakarta	UNSOED	UI	UGM	UNDIP	POLMAN	POLIMARIN	UNNES	UNAIR	UBB	UNAND	UPNVJ	UPNVYK	UPNVJT	UB	UNILA	POLSUB	ISI Yogyakarta	ULM	UNUD	Universitas Tarumanegara	PEM Akamigas	Poltekkes Bandung	POLIBATAM	UNHAS	UNTIRTA	UNPATTI	UIN MALIKI	UNDIKSHA	UM	UNSIKA	UNESA	Sum Lolos	Sumber	Catatan
SMAN 1 Bandung	1	2026	SNBP	48	6	14	15	5	1		5					1		1																											48	https://www.instagram.com/p/DWmJUFSiZEH/	
SMAN 1 Bandung	1	2025	SNBP	62	15	14	10	5	1		17																			1															63	https://smile.sman1bdg.sch.id/sidikti/hasil-pendataan/	Total per sekolah (27 SMAN), belum per-ITB
SMAN 1 Bandung	1	2024	SNBP	57	12	20	6	4			12			1				1												1															57	https://smile.sman1bdg.sch.id/sidikti/hasil-pendataan/	
SMAN 2 Bandung	2	2026	SNBP	31	13	9	3	5			1																																		31	https://www.instagram.com/p/DWls9fbk9az/	
SMAN 2 Bandung	2	2025	SNBP	50	21	19		5			2										1											1												1	50	https://www.instagram.com/p/DKZQOD_yv56/?img_index=1	
SMAN 2 Bandung	2	2024	SNBP	52	28	7	6	5			4	2																																	52		Each per student?
SMAN 3 Bandung	3	2026	SNBP	36	24	8		1			3																																		36	https://www.instagram.com/p/DWyWkHhEiFk/?hl=id	
SMAN 3 Bandung	3	2025	SNBP	54	35	8		1			5											1																							50	https://www.instagram.com/p/DH0r-q9pUGs/?hl=id&img_index=3	Each per student?
SMAN 3 Bandung	3	2024	SNBP	69	49	11	1	1		1	3				1								1	1																					69	https://www.instagram.com/p/C5SBL_5JPql/?hl=id&img_index=1	Tertinggi se-Bandung untuk ITB 2024
SMAN 4 Bandung	4	2026	SNBP	34	3	15	2	6	3		2	1						1														1													34	https://www.instagram.com/p/DWl1jjfAcKr/	
SMAN 4 Bandung	4	2025	SNBP	51	7	30	6	5			2							1																											51	https://www.instagram.com/p/DHXbkfyyk2g/?img_index=2	
